date,new_member_count,view_role_granted_count,active_user_count
2026-06-04,15,15,19
2026-06-05,4,4,9
2026-06-06,0,0,0
2026-06-07,0,1,1
2026-06-08,1,2,6
2026-06-09,0,0,0
2026-06-10,1,1,3
2026-06-11,0,0,1
2026-06-12,1,1,2
2026-06-13,0,0,1
2026-06-14,0,0,0
2026-06-15,32,24,35
2026-06-16,4,0,7
2026-06-17,2,4,7
2026-06-18,1,2,4
2026-06-19,2,0,3
2026-06-20,0,1,2
2026-06-21,1,0,0
2026-06-22,0,0,0
2026-06-23,0,0,1
2026-06-24,34,21,39
2026-06-25,9,5,13
2026-06-26,3,4,6
2026-06-27,5,2,7
2026-06-28,2,4,5
2026-06-29,5,6,8
2026-06-30,2,0,2
2026-07-01,53,16,62
2026-07-02,12,8,17
2026-07-03,10,5,12
